,fundmanager.list[j],ticker,companyname,portfoliopercentage,sharesowned,valueowned,changeinshare,averagebuyprice,valuedate,Industry
208,David Tepper,UPS,Eqt Corp,1.14%,2.06M,$ 76.36M,19.59,$19.59 (+106.9%),2024-03-31,
209,David Tepper,Did you know: Famous hedge funds are often outperformed by modern funds. Famous funds remain famous because the media is stuck in the past.,Taiwan Semiconductor Mfg Ltd,1.02%,500k,$ 68.03M,96.97,$96.97 (+69.5%),2024-03-31,
210,David Tepper,ASML,Antero Resources Corp,0.87%,2M,$ 58M,15.74,$15.74 (+116.1%),2024-03-31,
211,David Tepper,EQT,Boeing Co,0.65%,225k,$ 43.42M,226.83,$226.83 (-16.1%),2024-03-31,
212,David Tepper,TSM,Southwestern Energy Co,0.54%,4.80M,$ 36.38M,5.51,$5.51 (+31.2%),2024-03-31,
213,David Tepper,AR,Macys Inc,0.42%,1.40M,$ 27.99M,17.5,$17.5 (+5.3%),2024-03-31,
214,David Tepper,BA,Mplx Lp,0.41%,660k,$ 27.43M,32.62,$32.62 (+25.8%),2024-03-31,
215,David Tepper,SWN,Ke Hldgs Inc,0.35%,1.71M,$ 23.41M,15.19,$15.19 (+4.8%),2024-03-31,
216,David Tepper,M,Chesapeake Energy Corp,0.27%,203k,$ 18.03M,75.85,$75.85 (+16.4%),2024-03-31,
217,David Tepper,MPLX,Norfolk Southn Corp,0.17%,45k,$ 11.47M,216.66,$216.66 (+3.4%),2024-03-31,
218,David Tepper,Want to see a new feature on HedgeFollow?  Let us know,Lyft Inc,0.14%,467.62k,$ 9.05M,17.17,$17.17 (-9.1%),2024-03-31,
219,David Tepper,BEKE,Whirlpool Corp,0.00%,0,$0 ,127.74,$127.74 (-31.0%),2024-03-31,
220,David Tepper,CHK,Owens Corning New,0.00%,0,$0 ,142.32,$142.32 (+24.3%),2024-03-31,
221,David Tepper,NSC,Mohawk Inds Inc,0.00%,0,$0 ,94.66,$94.66 (+19.8%),2024-03-31,
222,David Tepper,LYFT,Masco Corp,0.00%,0,$0 ,60.22,$60.22 (+9.6%),2024-03-31,
223,David Tepper,WHR,Hca Healthcare Inc,0.00%,0,$0 ,258.33,$258.33 (+30.6%),2024-03-31,
224,David Tepper,OC,General Mtrs Co,0.00%,0,$0 ,34.45,$34.45 (+32.7%),2024-03-31,
225,David Tepper,MHK,Fmc Corp,0.00%,0,$0 ,65.01,$65.01 (-12.8%),2024-03-31,
226,David Tepper,MAS,Alibaba Group Hldg Ltd,12.17%,11.25M,$ 814.05M,81.24,$81.24 (-3.5%),2024-03-31,
227,David Tepper,Tip: Use the Stock Screener to find the best stocks using a variety of metrics,Amazon Com Inc,10.32%,3.83M,$ 690.50M,116.71,$116.71 (+57.9%),2024-03-31,
228,David Tepper,HCA,Microsoft Corp,8.80%,1.40M,$ 589.01M,304.77,$304.77 (+39.1%),2024-03-31,
229,David Tepper,GM,Meta Platforms Inc,8.15%,1.12M,$ 545.06M,233.13,$233.13 (+111.5%),2024-03-31,
230,David Tepper,FMC,Nvidia Corporation,5.97%,442k,$ 399.37M,330.52,$330.52 (+265.8%),2024-03-31,
231,Daniel Loeb,PCG,Pg&e Corp,12.46%,57.86M,$ 969.73M,9.66,$9.66 (+86.9%),2024-03-31,
232,Daniel Loeb,AMZN,Amazon Com Inc,11.82%,5.10M,$ 919.94M,126.75,$126.75 (+45.4%),2024-03-31,
233,Daniel Loeb,MSFT,Microsoft Corp,9.54%,1.76M,$ 742.57M,281.94,$281.94 (+50.3%),2024-03-31,
234,Daniel Loeb,BBWI,Bath & Body Works Inc,8.26%,12.85M,$ 642.76M,32.9,$32.9 (+39.3%),2024-03-31,
235,Daniel Loeb,META,Meta Platforms Inc,7.71%,1.24M,$ 600.18M,302.98,$302.98 (+62.7%),2024-03-31,
236,Daniel Loeb,DHR,Danaher Corporation,6.58%,2.05M,$ 511.93M,108.39,$108.39 (+142.7%),2024-03-31,
237,Daniel Loeb,GOOGL,Alphabet Inc,5.82%,3M,$ 452.79M,145.31,$145.31 (+20.1%),2024-03-31,
238,Daniel Loeb,VST,Vistra Corp,4.00%,4.47M,$ 311.34M,27.03,$27.03 (+214.7%),2024-03-31,
239,Daniel Loeb, ,American Intl Group Inc,3.47%,3.45M,$ 269.69M,56.64,$56.64 (+34.2%),2024-03-31,
240,Daniel Loeb,AIG,Jacobs Solutions Inc,3.46%,1.75M,$ 269.03M,120.61,$120.61 (+15.3%),2024-03-31,
241,Daniel Loeb,J,Ferguson Plc New,3.06%,1.09M,$ 238.09M,113.29,$113.29 (+75.4%),2024-03-31,
242,Daniel Loeb,FERG,Fleetcor Technologies Inc,2.58%,650k,$ 200.55M,270.41,$270.41 (-4.2%),2024-03-31,
243,Daniel Loeb,CPAY,Verizon Communications Inc,2.52%,4.67M,$ 196.16M,35.06,$35.06 (+16.8%),2024-03-31,
244,Daniel Loeb,VZ,Taiwan Semiconductor Mfg Ltd,2.05%,1.18M,$ 159.86M,96.97,$96.97 (+69.5%),2024-03-31,
245,Daniel Loeb,TSM,S&p Global Inc,1.83%,335k,$ 142.53M,432.99,$432.99 (-1.0%),2024-03-31,
246,Daniel Loeb,SPGI,Intercontinental Exchange In,1.77%,1M,$ 137.43M,116.42,$116.42 (+14.9%),2024-03-31,
247,Daniel Loeb,ICE,Cinemark Hldgs Inc,1.68%,7M,$ 131.46M,16.82,$16.82 (-0.1%),2024-05-14,
248,Daniel Loeb, ,Advance Auto Parts Inc,1.64%,1.50M,$ 127.64M,73.06,$73.06 (-11.6%),2024-03-31,
249,Daniel Loeb,CNK,International Flavors&fragra,1.55%,1.40M,$ 120.39M,97.43,$97.43 (+1.1%),2024-03-31,
250,Daniel Loeb,AAP,Apollo Global Mgmt Inc,1.45%,1M,$ 112.45M,92.61,$92.61 (+21.3%),2024-03-31,
251,Daniel Loeb,IFF,Marvell Technology Inc,1.39%,1.52M,$ 108.09M,65.6,$65.6 (+3.6%),2024-03-31,
252,Daniel Loeb,APO,Goldman Sachs Group Inc,1.34%,250k,$ 104.42M,401.73,$401.73 (+13.2%),2024-03-31,
253,Daniel Loeb,MRVL,Wesco Intl Inc,1.16%,525.20k,$ 89.96M,147.68,$147.68 (+19.4%),2024-03-31,
254,Daniel Loeb,GS,Eqt Corp,0.93%,1.95M,$ 72.29M,39.62,$39.62 (+2.3%),2024-03-31,
255,Daniel Loeb,WCC,Global Blue Group Holding Ag,0.56%,8.39M,$ 43.95M,6.95,$6.95 (-31.8%),2024-03-31,
256,Daniel Loeb,EQT,Uber Technologies Inc,0.49%,500k,$ 38.49M,39.86,$39.86 (+73.9%),2024-03-31,
257,Daniel Loeb,Want to see a new feature on HedgeFollow?  Let us know,Telephone & Data Sys Inc,0.44%,2.14M,$ 34.23M,13.78,$13.78 (+55.7%),2024-03-31,
258,Daniel Loeb,GB,Gartner Inc,0.34%,55k,$ 26.22M,463.89,$463.89 (-6.3%),2024-03-31,
259,Daniel Loeb,UBER,United States Cellular Corp,0.26%,545.34k,$ 19.91M,32.57,$32.57 (+71.8%),2024-03-31,
260,Daniel Loeb,TDS,Flyexclusive Inc,0.06%,1.02M,$ 4.42M,5.5,$5.5 (-18.2%),2024-03-31,
261,Daniel Loeb,IT,Aurora Innovation Inc,0.04%,1.03M,$ 2.91M,10.6,$10.6 (-78.5%),2024-03-31,
262,Daniel Loeb,USM,Patterson-uti Energy Inc,0.02%,150k,$ 1.79M,11.37,$11.37 (-10.1%),2024-03-31,
263,Daniel Loeb,FLYX,United States Stl Corp New,0.00%,0,$0 ,30.36,$30.36 (+26.1%),2024-03-31,
264,Daniel Loeb,AUR,Mckesson Corp,0.00%,0,$0 ,448.92,$448.92 (+30.7%),2024-03-31,
265,Daniel Loeb,PTEN,Dupont De Nemours Inc,0.00%,0,$0 ,71.18,$71.18 (+12.4%),2024-03-31,
266,Daniel Loeb,"Did you know: HedgeFollow corrected over 1 million errors made by hedge funds and institutions, making it the gold standard for fund data.",Biomarin Pharmaceutical Inc,0.00%,0,$0 ,92.45,$92.45 (-12.7%),2024-03-31,
267,Daniel Loeb,X,Apollo Global Mgmt Inc,<.01%,900k,$ 57.38M,55.1,$55.1 (+15.7%),2024-03-31,
268,Daniel Loeb,MCK,Pg&e Corp,12.46%,57.86M,$ 969.73M,9.66,$9.66 (+86.9%),2024-03-31,
269,Daniel Loeb,DD,Amazon Com Inc,11.82%,5.10M,$ 919.94M,126.75,$126.75 (+45.4%),2024-03-31,
270,Daniel Loeb,BMRN,Microsoft Corp,9.54%,1.76M,$ 742.57M,281.94,$281.94 (+50.3%),2024-03-31,
271,Daniel Loeb,APOPRA,Bath & Body Works Inc,8.26%,12.85M,$ 642.76M,32.9,$32.9 (+39.3%),2024-03-31,
